payment_id,ride_id,user_id,amount,payment_method,payment_status,transaction_id,payment_time
1,1,8564,116.09,card,completed,TXN00000001,2024-05-03 14:00:00
2,2,9635,82.81,wallet,refunded,TXN00000002,2024-12-02 07:39:00
3,3,6054,117.58,cash,completed,TXN00000003,2024-09-21 18:01:00
4,4,5823,136.88,card,completed,TXN00000004,2025-05-15 04:06:00
5,5,7184,147.13,wallet,completed,TXN00000005,2025-06-11 07:33:00
6,6,4422,109.14,card,refunded,TXN00000006,2024-05-26 13:48:00
7,7,6550,92.53,wallet,completed,TXN00000007,2024-04-16 17:15:00
8,8,9576,37.90,card,completed,TXN00000008,2025-06-11 15:18:00
9,9,7570,18.07,wallet,completed,TXN00000009,2024-01-09 21:36:00
10,10,9316,20.18,card,completed,TXN00000010,2024-07-20 23:38:00
11,11,9833,58.46,card,refunded,TXN00000011,2024-09-02 15:53:00
12,12,5176,126.84,wallet,refunded,TXN00000012,2024-12-18 18:27:00
13,13,5210,105.67,cash,refunded,TXN00000013,2025-07-14 06:43:00
14,14,7188,52.51,wallet,completed,TXN00000014,2024-03-27 01:55:00
15,15,7416,86.60,card,refunded,TXN00000015,2025-06-03 02:20:00
16,16,6645,94.51,card,completed,TXN00000016,2024-10-23 07:57:00
17,17,6339,99.39,card,completed,TXN00000017,2025-08-08 15:11:00
18,18,8847,137.78,card,completed,TXN00000018,2024-04-14 00:45:00
19,19,5750,68.09,wallet,completed,TXN00000019,2024-05-22 13:19:00
20,20,7438,16.83,card,completed,TXN00000020,2025-03-03 12:29:00
21,21,6476,50.51,cash,completed,TXN00000021,2025-04-07 06:36:00
22,22,5465,25.21,cash,refunded,TXN00000022,2025-03-18 21:50:00
23,23,8089,107.58,wallet,refunded,TXN00000023,2024-03-07 23:44:00
24,24,7725,19.96,card,completed,TXN00000024,2025-05-28 05:27:00
25,25,9665,124.32,card,completed,TXN00000025,2025-01-09 00:56:00
26,26,6493,24.23,card,completed,TXN00000026,2025-07-27 07:01:00
27,27,7634,17.80,cash,refunded,TXN00000027,2025-01-09 09:15:00
28,28,7096,46.58,card,refunded,TXN00000028,2024-04-04 16:19:00
29,29,6101,91.06,cash,refunded,TXN00000029,2024-07-11 19:53:00
30,30,6846,14.05,card,completed,TXN00000030,2024-11-25 09:15:00
31,31,4156,53.43,wallet,completed,TXN00000031,2024-07-04 09:12:00
32,32,4819,79.30,card,completed,TXN00000032,2025-08-03 18:18:00
33,33,7201,131.17,card,completed,TXN00000033,2025-10-25 10:34:00
34,34,6702,45.67,card,refunded,TXN00000034,2024-10-03 13:41:00
35,35,5010,87.66,cash,completed,TXN00000035,2025-12-08 13:31:00
36,36,3377,10.88,wallet,completed,TXN00000036,2024-09-11 10:28:00
37,37,3502,41.82,cash,completed,TXN00000037,2024-06-23 10:33:00
38,38,6865,81.96,card,completed,TXN00000038,2024-04-05 05:09:00
39,39,9888,112.19,cash,completed,TXN00000039,2025-07-05 08:08:00
40,40,8348,136.09,wallet,completed,TXN00000040,2025-05-17 09:29:00
41,41,6985,27.68,cash,completed,TXN00000041,2024-08-17 22:32:00
42,42,4411,99.12,card,refunded,TXN00000042,2024-10-19 16:25:00
43,43,6103,71.26,wallet,completed,TXN00000043,2024-06-11 21:35:00
44,44,4755,123.41,cash,completed,TXN00000044,2024-12-28 18:00:00
45,45,9157,130.59,cash,refunded,TXN00000045,2024-03-26 17:35:00
46,46,6583,40.35,wallet,completed,TXN00000046,2024-06-23 20:27:00
47,47,9295,40.73,wallet,completed,TXN00000047,2025-08-25 16:43:00
48,48,5864,119.48,wallet,completed,TXN00000048,2024-03-25 09:24:00
49,49,4203,38.27,wallet,completed,TXN00000049,2024-08-15 16:41:00
50,50,8226,92.38,cash,completed,TXN00000050,2025-12-07 15:16:00
51,51,4767,95.38,card,completed,TXN00000051,2025-02-02 11:15:00
52,52,5903,84.67,wallet,completed,TXN00000052,2025-03-29 01:11:00
53,53,5999,55.60,wallet,completed,TXN00000053,2024-08-19 07:55:00
54,54,8970,140.74,wallet,completed,TXN00000054,2024-02-26 08:17:00
55,55,6729,145.72,wallet,completed,TXN00000055,2024-02-02 02:50:00
56,56,7558,96.39,cash,completed,TXN00000056,2025-02-07 21:29:00
57,57,9574,87.62,wallet,completed,TXN00000057,2025-07-06 13:54:00
58,58,7704,37.48,card,completed,TXN00000058,2025-08-05 11:19:00
59,59,4200,113.69,cash,completed,TXN00000059,2025-08-05 08:21:00
60,60,8709,118.81,card,completed,TXN00000060,2024-05-08 01:53:00
61,61,9864,116.56,card,completed,TXN00000061,2025-12-08 13:22:00
