rating_id,ride_id,rider_id,driver_id,rating,comment,rated_at
1,1,8564,427,1,Good ride,2024-05-03 14:00:00
2,2,9635,798,5,Good ride,2024-12-02 07:39:00
3,3,6054,1301,1,Smooth trip,2024-09-21 18:01:00
4,4,5823,1550,2,Good ride,2025-05-15 04:06:00
5,5,7184,611,5,Good ride,2025-06-11 07:33:00
6,6,4422,197,1,Smooth trip,2024-05-26 13:48:00
7,7,6550,2457,4,Good ride,2024-04-16 17:15:00
8,8,9576,2939,4,Good ride,2025-06-11 15:18:00
9,9,7570,322,4,Smooth trip,2024-01-09 21:36:00
10,10,9316,1679,4,Good ride,2024-07-20 23:38:00
11,11,9833,1548,1,Good ride,2024-09-02 15:53:00
12,12,5176,2350,2,Smooth trip,2024-12-18 18:27:00
13,13,5210,2710,2,Good ride,2025-07-14 06:43:00
14,14,7188,1871,1,Good ride,2024-03-27 01:55:00
15,15,7416,1738,5,Smooth trip,2025-06-03 02:20:00
16,16,6645,14,1,Good ride,2024-10-23 07:57:00
17,17,6339,370,3,Good ride,2025-08-08 15:11:00
18,18,8847,2560,1,Smooth trip,2024-04-14 00:45:00
19,19,5750,551,5,Good ride,2024-05-22 13:19:00
20,20,7438,1025,1,Good ride,2025-03-03 12:29:00
21,21,6476,1227,3,Smooth trip,2025-04-07 06:36:00
22,22,5465,307,4,Good ride,2025-03-18 21:50:00
23,23,8089,341,4,Good ride,2024-03-07 23:44:00
24,24,7725,1849,3,Smooth trip,2025-05-28 05:27:00
25,25,9665,2629,3,Good ride,2025-01-09 00:56:00
26,26,6493,1949,4,Good ride,2025-07-27 07:01:00
27,27,7634,1783,1,Smooth trip,2025-01-09 09:15:00
28,28,7096,453,4,Good ride,2024-04-04 16:19:00
29,29,6101,874,2,Good ride,2024-07-11 19:53:00
30,30,6846,473,5,Smooth trip,2024-11-25 09:15:00
31,31,4156,1005,5,Good ride,2024-07-04 09:12:00
32,32,4819,2366,2,Good ride,2025-08-03 18:18:00
33,33,7201,752,5,Smooth trip,2025-10-25 10:34:00
34,34,6702,188,4,Good ride,2024-10-03 13:41:00
35,35,5010,2041,2,Good ride,2025-12-08 13:31:00
36,36,3377,1408,2,Smooth trip,2024-09-11 10:28:00
37,37,3502,2861,5,Good ride,2024-06-23 10:33:00
38,38,6865,1989,1,Good ride,2024-04-05 05:09:00
39,39,9888,2402,3,Smooth trip,2025-07-05 08:08:00
40,40,8348,186,2,Good ride,2025-05-17 09:29:00
41,41,6985,1575,2,Good ride,2024-08-17 22:32:00
42,42,4411,567,2,Smooth trip,2024-10-19 16:25:00
43,43,6103,181,3,Good ride,2024-06-11 21:35:00
