ride_id,rider_id,driver_id,requested_at,pickup_time,dropoff_time,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,distance_km,fare,surge_multiplier,status,cancellation_reason
1,8564,427,2024-05-03 14:00:00,2024-05-03 14:00:00,2024-05-03 14:00:00,46.326160,-73.561859,44.587793,-98.430235,28.86,116.09,1.05,completed,
2,9635,798,2024-12-02 07:39:00,2024-12-02 07:39:00,,47.832777,-117.440078,46.868302,-106.813386,38.31,82.81,1.64,cancelled,Rider cancelled
3,6054,1301,2024-09-21 18:01:00,2024-09-21 18:01:00,2024-09-21 18:01:00,43.760841,-113.053397,44.916149,-100.844796,41.26,117.58,1.44,completed,
4,5823,1550,2025-05-15 04:06:00,2025-05-15 04:06:00,2025-05-15 04:06:00,45.541534,-112.353197,46.198507,-107.123463,33.42,136.88,1.02,completed,
5,7184,611,2025-06-11 07:33:00,2025-06-11 07:33:00,2025-06-11 07:33:00,45.986284,-116.006672,43.814775,-116.088960,7.36,147.13,2.35,completed,
6,4422,197,2024-05-26 13:48:00,2024-05-26 13:48:00,,46.257455,-77.343119,47.933180,-89.143012,26.19,109.14,1.74,cancelled,Rider cancelled
7,6550,2457,2024-04-16 17:15:00,2024-04-16 17:15:00,2024-04-16 17:15:00,47.975907,-100.909329,45.594082,-83.092625,20.19,92.53,1.37,completed,
8,9576,2939,2025-06-11 15:18:00,2025-06-11 15:18:00,2025-06-11 15:18:00,47.167084,-94.234812,46.859809,-115.843912,40.11,37.90,1.95,completed,
9,7570,322,2024-01-09 21:36:00,2024-01-09 21:36:00,2024-01-09 21:36:00,48.096960,-97.725523,43.946483,-111.862911,38.21,18.07,1.93,completed,
10,9316,1679,2024-07-20 23:38:00,2024-07-20 23:38:00,2024-07-20 23:38:00,45.924164,-117.710578,49.113947,-105.283209,44.00,20.18,2.17,completed,
11,9833,1548,2024-09-02 15:53:00,2024-09-02 15:53:00,,49.072644,-102.278578,47.205399,-100.801731,6.82,58.46,2.03,cancelled,Rider cancelled
12,5176,2350,2024-12-18 18:27:00,2024-12-18 18:27:00,,44.615616,-117.400073,47.319440,-75.653844,8.02,126.84,1.63,cancelled,Rider cancelled
13,5210,2710,2025-07-14 06:43:00,,,45.057242,-112.905818,43.850136,-79.143385,23.97,105.67,2.28,requested,
14,7188,1871,2024-03-27 01:55:00,2024-03-27 01:55:00,2024-03-27 01:55:00,46.079481,-98.920942,48.226993,-104.417935,31.01,52.51,1.87,completed,
15,7416,1738,2025-06-03 02:20:00,2025-06-03 02:20:00,,47.836183,-113.166247,43.847689,-99.955869,33.14,86.60,2.03,cancelled,Rider cancelled
16,6645,14,2024-10-23 07:57:00,2024-10-23 07:57:00,2024-10-23 07:57:00,44.101612,-116.630132,45.743819,-93.631908,8.86,94.51,1.97,completed,
17,6339,370,2025-08-08 15:11:00,2025-08-08 15:11:00,2025-08-08 15:11:00,48.933160,-84.460127,44.748852,-82.651782,22.76,99.39,1.57,completed,
18,8847,2560,2024-04-14 00:45:00,2024-04-14 00:45:00,2024-04-14 00:45:00,46.539447,-101.941586,44.988093,-113.393376,41.40,137.78,2.13,completed,
19,5750,551,2024-05-22 13:19:00,2024-05-22 13:19:00,2024-05-22 13:19:00,44.527994,-100.537425,47.443492,-103.197938,12.44,68.09,2.30,completed,
20,7438,1025,2025-03-03 12:29:00,2025-03-03 12:29:00,2025-03-03 12:29:00,43.685266,-114.074077,47.569136,-76.672538,4.69,16.83,2.24,completed,
